timestamp,cpu,memory,latency,error_rate
1700000000,20.5,104857600,0.1,0.0
1700000060,21.0,104857600,0.12,0.0
1700000120,19.5,104857600,0.11,0.0
1700000180,22.0,104857600,0.10,0.0
1700000240,20.1,104857600,0.13,0.0
1700000300,95.0,104857600,2.5,0.05
1700000360,98.0,104857600,3.0,0.1
1700000420,25.0,104857600,0.15,0.0
1700000480,21.5,150000000,0.12,0.0
1700000540,20.0,200000000,0.11,0.0
1700000600,22.1,250000000,0.14,0.0
1700000660,19.8,300000000,0.15,0.0
1700000720,20.2,104857600,0.1,0.0
1700000780,21.0,104857600,0.11,0.0
1700000840,20.5,104857600,4.5,0.8
1700000900,19.9,104857600,5.0,0.9
1700000960,20.1,104857600,0.12,0.0
1700001020,22.5,104857600,0.11,0.0
1700001080,21.0,104857600,0.1,0.0
1700001140,20.5,104857600,0.13,0.0
1700001200,99.0,300000000,5.5,0.95
1700001260,20.0,104857600,0.1,0.0
1700001320,19.5,104857600,0.11,0.0
1700001380,21.5,104857600,0.12,0.0
1700001440,22.0,104857600,0.1,0.0
1700001500,20.5,104857600,0.15,0.0
1700001560,94.0,104857600,1.5,0.01
1700001620,21.0,104857600,0.12,0.0
1700001680,20.0,104857600,0.11,0.0
1700001740,22.1,104857600,0.1,0.0
1700001800,19.8,104857600,0.13,0.0
1700001860,20.2,104857600,0.1,0.0
1700001920,21.0,104857600,0.14,0.0
1700001980,20.5,104857600,0.11,0.0
1700002040,19.9,104857600,0.12,0.0
1700002100,20.1,104857600,0.1,0.0
1700002160,22.5,104857600,0.13,0.0
1700002220,21.0,104857600,0.11,0.0
1700002280,20.5,104857600,0.1,0.0
1700002340,96.0,104857600,2.1,0.04
1700002400,20.0,104857600,0.12,0.0
1700002460,19.5,104857600,0.1,0.0
1700002520,21.5,104857600,0.11,0.0
1700002580,22.0,104857600,0.14,0.0
1700002640,20.5,104857600,0.1,0.0
1700002700,21.0,104857600,0.12,0.0
1700002760,20.0,104857600,0.13,0.0
1700002820,22.1,104857600,0.11,0.0
1700002880,19.8,104857600,0.1,0.0
1700002940,20.2,104857600,0.15,0.0
